Summary,Tokens,Entities,Density
1,79,11,0.13924050632911392
2,64,10,0.15625
3,67,11,0.16417910447761194
4,62,10,0.16129032258064516
5,59,10,0.1694915254237288
1,76,9,0.11842105263157894
2,60,8,0.13333333333333333
3,63,9,0.14285714285714285
4,48,8,0.16666666666666666
5,57,6,0.10526315789473684
1,118,11,0.09322033898305085
2,98,9,0.09183673469387756
3,93,9,0.0967741935483871
4,87,11,0.12643678160919541
5,89,10,0.11235955056179775
1,84,8,0.09523809523809523
2,82,10,0.12195121951219512
3,81,8,0.09876543209876543
4,80,12,0.15
5,72,11,0.1527777777777778
1,82,11,0.13414634146341464
2,85,11,0.12941176470588237
3,84,6,0.07142857142857142
4,76,12,0.15789473684210525
5,78,11,0.14102564102564102
1,59,6,0.1016949152542373
2,54,5,0.09259259259259259
3,51,8,0.1568627450980392
4,52,5,0.09615384615384616
5,47,5,0.10638297872340426
1,83,7,0.08433734939759036
2,74,7,0.0945945945945946
3,76,9,0.11842105263157894
4,79,12,0.1518987341772152
5,74,12,0.16216216216216217
1,82,10,0.12195121951219512
2,79,9,0.11392405063291139
3,91,11,0.12087912087912088
4,91,13,0.14285714285714285
5,88,13,0.14772727272727273
1,81,5,0.06172839506172839
2,65,9,0.13846153846153847
3,66,7,0.10606060606060606
4,68,10,0.14705882352941177
5,76,12,0.15789473684210525
1,83,5,0.060240963855421686
2,72,7,0.09722222222222222
3,66,9,0.13636363636363635
4,74,12,0.16216216216216217
5,79,13,0.16455696202531644
1,113,15,0.13274336283185842
2,96,15,0.15625
3,101,15,0.1485148514851485
4,94,16,0.1702127659574468
5,80,15,0.1875
1,77,13,0.16883116883116883
2,69,10,0.14492753623188406
3,65,11,0.16923076923076924
4,69,12,0.17391304347826086
5,69,12,0.17391304347826086
1,53,5,0.09433962264150944
2,46,8,0.17391304347826086
3,45,9,0.2
4,44,9,0.20454545454545456
5,48,11,0.22916666666666666
1,97,8,0.08247422680412371
2,96,12,0.125
3,102,12,0.11764705882352941
4,108,15,0.1388888888888889
5,97,14,0.14432989690721648
1,55,8,0.14545454545454545
2,55,9,0.16363636363636364
3,45,11,0.24444444444444444
4,47,13,0.2765957446808511
5,47,12,0.2553191489361702
1,86,9,0.10465116279069768
2,56,11,0.19642857142857142
3,57,12,0.21052631578947367
4,51,12,0.23529411764705882
5,60,15,0.25
1,53,5,0.09433962264150944
2,53,8,0.1509433962264151
3,49,7,0.14285714285714285
4,51,8,0.1568627450980392
5,50,9,0.18
1,72,8,0.1111111111111111
2,63,11,0.1746031746031746
3,56,12,0.21428571428571427
4,47,10,0.2127659574468085
5,50,10,0.2
1,61,7,0.11475409836065574
2,55,9,0.16363636363636364
3,58,12,0.20689655172413793
4,55,13,0.23636363636363636
5,53,15,0.2830188679245283
1,97,10,0.10309278350515463
2,78,10,0.1282051282051282
3,80,13,0.1625
4,77,14,0.18181818181818182
5,81,14,0.1728395061728395
1,94,10,0.10638297872340426
2,89,11,0.12359550561797752
3,93,13,0.13978494623655913
4,94,15,0.1595744680851064
5,111,17,0.15315315315315314
1,77,10,0.12987012987012986
2,72,10,0.1388888888888889
3,68,8,0.11764705882352941
4,64,7,0.109375
5,68,8,0.11764705882352941
1,98,8,0.08163265306122448
2,87,6,0.06896551724137931
3,84,7,0.08333333333333333
4,90,9,0.1
5,88,10,0.11363636363636363
1,69,5,0.07246376811594203
2,68,6,0.08823529411764706
3,65,9,0.13846153846153847
4,67,8,0.11940298507462686
5,70,8,0.11428571428571428
1,81,12,0.14814814814814814
2,84,14,0.16666666666666666
3,77,8,0.1038961038961039
4,76,10,0.13157894736842105
5,83,14,0.1686746987951807
1,134,10,0.07462686567164178
2,130,12,0.09230769230769231
3,118,13,0.11016949152542373
4,124,16,0.12903225806451613
5,130,17,0.13076923076923078
1,82,7,0.08536585365853659
2,83,9,0.10843373493975904
3,79,10,0.12658227848101267
4,71,13,0.18309859154929578
5,74,10,0.13513513513513514
1,84,10,0.11904761904761904
2,76,12,0.15789473684210525
3,81,13,0.16049382716049382
4,72,11,0.1527777777777778
5,77,14,0.18181818181818182
1,74,12,0.16216216216216217
2,68,9,0.1323529411764706
3,68,12,0.17647058823529413
4,73,12,0.1643835616438356
5,76,15,0.19736842105263158
1,98,11,0.11224489795918367
2,78,12,0.15384615384615385
3,98,13,0.1326530612244898
4,92,13,0.14130434782608695
5,97,15,0.15463917525773196
