Summary,Tokens,Entities,Density
1,131,16,0.12213740458015267
1,121,12,0.09917355371900827
1,139,9,0.06474820143884892
1,136,9,0.0661764705882353
1,124,16,0.12903225806451613
1,149,14,0.09395973154362416
1,137,21,0.15328467153284672
1,130,14,0.1076923076923077
1,131,15,0.11450381679389313
1,137,19,0.1386861313868613
2,138,21,0.15217391304347827
2,143,17,0.11888111888111888
2,122,16,0.13114754098360656
2,140,15,0.10714285714285714
2,117,13,0.1111111111111111
2,151,20,0.13245033112582782
2,136,16,0.11764705882352941
2,128,16,0.125
2,117,16,0.13675213675213677
2,116,19,0.16379310344827586
3,130,15,0.11538461538461539
3,181,22,0.12154696132596685
3,137,19,0.1386861313868613
3,150,18,0.12
3,126,14,0.1111111111111111
3,123,14,0.11382113821138211
3,123,13,0.10569105691056911
3,159,19,0.11949685534591195
3,128,16,0.125
3,122,16,0.13114754098360656
